Field #,Start,End,Length,Name,Valid Content,Justify
1,1,1,,YTDRecordIndicator,"""D""",
2,2,14,13,CrossReference,,
3,15,15,1,ActionCode,"""A"" = Accepted, or ""C"" = Corrected",
4,16,17,2,DisbursementNumber,,
5,18,24,7,AcceptedDisbursementAmount,,
6,25,25,1,AcceptedSignIndicator,"""P"" = positive, or ""N"" = negative",
7,26,33,8,DisbursementDate,CCYYMMDD,
8,34,41,8,PaymentPeriodStartDate,CCYYMMDD,
9,42,48,7,PercentElgibilityUsed,"00000000, the last 4 digits repreent less than 1 percent. No decimal point",
10,49,55,7,TotalEligibilityUsedAcrossAllSchools,"00000000, the last 4 digits repreent less than 1 percent. No decimal point",
11,56,63,8,DisbursementProcessDate,"CCYYMMDD, Date disbursement was processed by COD",
12,64,71,8,RoutingID,"00000002-99999999, routing ID for attended school (maybe)",
13,72,75,4,FinancialAwardYear,"CCYY, Last year in the two year cycle",
14,76,81,6,AttendedCampusPellID,,
15,82,116,35,StudentLastName,,
16,117,126,10,StudentSuffix,,
17,127,161,35,StudentFirstName,,
18,162,196,35,StudentMiddleName,,
19,197,205,9,StudentSSN,,
20,206,213,8,StudentDateOfBirth,CCYYMMDD,
21,214,215,1,DisbursementSequenceNumber,"1-65 school-assigned, 66-90 COD assigned or Web",
22,216,216,1,DisbursementReleaseIndicator,"""T"" = true, ""F"" = false",
23,217,218,2,PreviousDisbursementSequenceNumber,,
24,219,225,7,LifetimeEligibilityUsed,"0000000, last 3 digits indicate less than 1 percent, no decimal point",
25,226,232,7,ProgramCIPCode1,format is 00.0000 - 99.0000,
26,233,239,7,ProgramCIPCode2,format is 00.0000 - 99.0000,
27,240,246,7,ProgramCIPCode3,format is 00.0000 - 99.0000,
28,247,247,1,EnrollmentStatus,"""F"" = full-time, ""Q"" = three-quarters time, ""H"" = half-time, ""L"" = less than half-time",
29,248,250,3,EnrollmentIntensityPercentage,0-100,
30,251,255,5,PublishedProgramLengthYears,"00V000 to 99V000, or blank. Decimal is implied",
31,256,260,5,PublishedProgramLengthMonths,"00V000 to 99V000, or blank. Decimal is implied",
32,261,266,6,PublishedProgramLengthWeeks,"000V000 to 999V000, or blank. Decimal is implied",
33,267,267,1,SpecialProgramIndicator,"""A"" = Selective Admission Associate Program, ""B"" = Bachelor's Degree Completion Program, ""N"" = Not applicable, ""P"" = Preparatory Coursework Graduate Professional Program, ""T"" = Non-credential Teacher Certification Program, ""U"" = Prparatory Coursework Undergraduate Program",
34,268,269,2,ProgramCredentialLevel,"01 = Undergraduate certificate or diploma, 02 = Associate degree, 03 = Bachelor's degree, 04 = Post Baccalaureate certificate",
35,270,275,6,WeeksProgramsAcademicYear,"000V000 to 999V999, total number of weeks of instruction in the program's academic year",
36,276,279,4,ProgramCIPCodeYear,CCYY,
37,280,287,8,PaymentPeriodEndDate,CCYYMMDD,
38,288,288,1,IncarceratedStudentIndicator,"""Y"", ""N"" or blank",
39,289,350,62,Filler4,,
